season,episode,totalEpisode,timestamp,summary,solid_apology,chart_highlight
2,12,28,19:30,Heather apologizes to her sister for their fractured relationship over the last few years.,TRUE,FALSE
2,12,28,24:45:00,Meredith apologizes to Mary for bringing up drama about her church.,TRUE,TRUE
2,12,28,39:34:00,Mary tells Heather she is hurt by her bringing accusations against her church.,FALSE,FALSE
2,12,28,14:35:00,Jen is upset with Lisa that she hasn't reached out to her while she's been going through a lot with the arrest.,TRUE,FALSE
2,14,30,19:49:00,"Heather's brother is leaving the church, and tells Heather he was hurt when she didn't reach out.",TRUE,FALSE
2,14,30,1:02:26,The group apologizes to Jen for taking attention away from her pain when they get into a a big fight at the Pho lunch.,TRUE,FALSE
2,15,31,30:37:00,"Jenny confronts Mary about saying she had ""slanted eyes.""",FALSE,FALSE
2,15,31,32:27:00,Jenny confronts Mary about re-gifting her a gift.,FALSE,FALSE
2,15,31,34:26:00,"Whitney confronts Mary about the racially insensitive comments she's made lately (slanted eyes, Mexican thug).",FALSE,FALSE
2,16,32,41:38:00,"Lisa and Jen are in a heated fight about how Lisa has talked about her not being innocent, and not been a good friend lately. Lisa says ""I'm sorry"" at one point, but then a minute later they're physically fighting.",FALSE,FALSE
2,17,33,5:00:00,Lisa apologizes to Jen after their fight.,TRUE,FALSE
2,17,33,28:44:00,Whitney is upset because Mereditih and Mary didn't come to her spiritual activity.,FALSE,FALSE
2,17,33,35:00:00,Jenny confronts Meredith about how she didn't tell Mary it was wrong to make the comment about slanted eyes.,FALSE,FALSE
2,18,34,33:17:00,"Lisa apologizes to Heather, Jenny, Whitney for telling Meredith that people were speculating about her faking her dad's funeral, which caused her to yell.",TRUE,FALSE
2,18,34,34:37:00,Mary apologizes to Jenny for being so cold to her and not wanting to be her friend.,TRUE,FALSE
2,19,35,16:08:00,Jenny apologizes to Meredith for sharing with Jen that Meredith hired a private investigator.,TRUE,FALSE
2,19,35,30:26:00,"Jenny asks Mary for an apology for being rude to her, and Mary says a) she doesn't like her, b) she doesn't want to apologize to her.",FALSE,FALSE
2,19,35,41:00:00,Meredith apologizes to everyone for screaming yesterday.,TRUE,FALSE
2,20,36,9:12:00,Whitney tries to apologize to Meredith about how she asked her about whether her father's funeral was real.,FALSE,FALSE
2,20,36,39:00:00,Meredith apologizes to Whitney for yelling at her about the funeral thing.,TRUE,FALSE
2,21,37,32:31:00,Whitney apologizes to Mary for talking about her church.,FALSE,FALSE
2,21,37,36:03:00,"Jenny apologizes to Lisa for throwing a glass at her party (Lisa says ""Why are you apologizing? I don't care!""",TRUE,FALSE
2,21,37,13:33:00,"Meredith apologizes for talking abou Jen's family (""for anything that i said"")",TRUE,FALSE
2,22,38,20:44:00,Whitney apologizes to Lisa for calling her a minion.,TRUE,FALSE
2,22,38,25:07:00,Heather apologizes to Jenny for saying she looked like an anime character.,TRUE,FALSE
2,23,39,1:40:00,"Lisa apologizes to Jen for saying ""I love Jen Shah, as controversial as that is.""",FALSE,FALSE
2,23,39,27:55:00,"Meredith says she didn't feel like Lisa was there for her after her dad passed, which Lisa denies.",FALSE,FALSE
2,23,39,32:12:00,"Lisa attempts to apologize to Meredith for her rant about Meredith being a ""garbage whore.""",FALSE,FALSE
2,23,39,37:49:00,Second attempt at Lisa's apology.,FALSE,FALSE
2,24,40,19:12:00,"Jen confronts Whitney about speculating about fraud, Whitney apologizes.",TRUE,FALSE
2,24,40,40:15:00,Jen re-iterates that she's sorry to Heather for the mean social media posts.,TRUE,FALSE
2,24,40,40:40:00,Heather apologizes for bringing it up so much.,TRUE,FALSE
3,1,41,38:22:00,"Lisa attempts to apologize to Meredith for her rant about Meredith being a ""garbage whore."" (again)",FALSE,FALSE
3,2,42,47:42:00,Meredith apologizes to the group for being late to the shaman.,TRUE,FALSE
3,2,42,48:15:00,"Meredith says she doesn't feel safe with the group, and Lisa says ""I used to feel like I was a safe spae for you, I'm sorry"", which does not go over well.",FALSE,FALSE
3,3,43,4:00:00,Lisa apologizes (again) for the garbage whore comments.,FALSE,FALSE
3,3,43,7:52:00,"Lisa says ""I'm not gonna slit my wrists for anybody"", which makes Meredith upset because she has a family member who tried to commit suicide.",FALSE,FALSE
3,3,43,39:40:00,Meredith apologizes to Lisa for spreading rumors about her sleeping with someone else.,TRUE,FALSE
3,5,45,38:05:00,Heather apologizes to Lisa for inviting Angie H. skiing with them.,TRUE,FALSE
3,5,45,41:21:00,Heather apologizes to Whitney for claiming she made the whole trip about her and her healing journey.,FALSE,FALSE
3,7,47,12:09:00,"Jen confronts Angie H. about the ""Shah exposed"" Instagram account.",FALSE,FALSE
3,7,47,37:04:00,Whitney confronts Heather about their conflict and how she feels like Heather hasn't been supporting her.,FALSE,FALSE
3,8,48,33:04:00,"Angie apologizes to Jen for the ""Shah exposed"" account.",TRUE,FALSE
3,9,49,22:29:00,"Jen pours a drink on Angie's head, and Angie is upset.",FALSE,FALSE
3,9,49,33:37:00,"Jen tries to apologize about pouring the drink on Angie's head, again.",FALSE,FALSE
3,10,50,36:56:00,"When Lisa confronts her about it later on, Jen apologizes to Angie about the drink pouring.",TRUE,FALSE
3,11,51,5:54:00,Jen apologizes to Angie again for the drink pouring.,FALSE,FALSE
3,11,51,18:34:00,Jen apologizes for being mean to Lisa on the boat.,FALSE,FALSE
3,11,51,38:28:00,Whitney apologizes to Meredith for betraying her trust by sharing the rumours that Meredith told her about Lisa.,FALSE,FALSE
3,11,51,41:50:00,Heather aggressively asks Whitney to state her grievances towards her.,FALSE,TRUE
3,11,51,45:45:00,A continuation of Heather's apology to Whitney.,FALSE,FALSE
3,13,53,40:13:00,Whitney apologizes to Heather as they talk about their friendship drama.,FALSE,FALSE
3,14,54,11:30:00,Angie's husband (but mostly Angie) apologizes for starting the Instagram about Jen.,TRUE,FALSE
3,15,55,9:00:00,Meredith apologizes about spreading rumors about Lisa.,TRUE,FALSE
3,15,55,35:51:00,Heather apologizes for stressing out production with the black eye incident.,TRUE,FALSE
3,16,56,23:25:00,"John says he was hurt when Seth and Meredith made negative comments about Lisa, and Meredith apologizes.",FALSE,FALSE
4,1,57,37:25:00,Meredith confronts Whitney about making a comment about her bathtub.,FALSE,FALSE
4,2,58,5:20:00,Lisa apologizes again about the hot mic moment.,TRUE,FALSE
4,2,58,5:28:00,Meredith apologizes about spreading rumors about Lisa.,TRUE,FALSE
4,4,60,6:37:00,Heather apologizes for vomitting on Whitney's leg.,TRUE,FALSE
4,4,60,30:24:00,Monica confronts Lisa about constantly talking about the $60k ring she lost.,FALSE,FALSE
4,5,61,32:49:00,"Lisa and Monica are yelling at each other, Lisa says to bring it down.",FALSE,FALSE
4,6,62,6:32:00,Meredith fake apologies to Angie.,FALSE,FALSE
4,6,62,6:36:00,Angie fake apologizes to Meredith.,FALSE,FALSE
4,6,62,22:40:00,Angie apologizes to Heather for saying some mean things about her.,TRUE,FALSE
4,6,62,22:55:00,Heather apologizes to Angie for not having her back on the trip.,TRUE,FALSE
4,7,63,5:20:00,"Whitney tells Justin she feels sad about her their relationship is going (he's gone back to work, he doesn't wear his wedding ring?)",TRUE,FALSE
4,7,63,37:00:00,Monica's mom apologizes to Angie & Shawn at their party for making a scene with Monica.,TRUE,FALSE
4,7,63,38:58:00,Monica tells her mom it hurt her when she apologized about her.,FALSE,FALSE
4,8,64,26:10:00,Whitney tries to apologize to Mary about saying bad things about her church.,TRUE,FALSE
4,8,64,26:10:00,Whitney asks Mary to take accountability for sending her mean texts.,FALSE,FALSE
4,8,64,35:18:00,Monica tells her mom (again) it hurt her when she apologized about her.,FALSE,FALSE
4,8,64,39:37:00,"Monica brings up that her mom wasn't very present in her childhood, including an incident where her mom made out with her boyfriend with Monica in the trunk of the car.",FALSE,FALSE
4,9,65,6:50:00,"Monica and Angie work it out, and Monica shares what was going on for her when she freaked out at the party.",TRUE,FALSE
4,10,66,5:13:00,Lisa apologizes for making a scene at her sound bath party.,TRUE,FALSE
4,10,66,12:30:00,"Heather confronts Mary for saying harsh words about her last season (calling her ""inbred"").",FALSE,FALSE
4,10,66,17:34:00,"While recording their podcast, Seth apologizes to Meredith for not being there for her.",TRUE,FALSE
4,10,66,26:11:00,"Monica's mom wants to smooth things over and wants to start therapy, but Monica is skeptical.",FALSE,FALSE
4,10,66,34:14:00,"Angie K. confronts Meredith about saying she could ""ruin her family.""",FALSE,FALSE
4,10,66,42:05:00,"Lisa and Angie try to work things out, Angie apologizes for not sharing with her (and Lisa says ""same."")",TRUE,FALSE
4,11,67,21:32:00,Whitney publicly (and sort of jokingly) apologizes on Meredith's podcast about the bathtub comments.,TRUE,FALSE
4,11,67,38:27:00,"Lisa said Monica's mom seemed nice, which made Monica feel invalidated, so she tries to apologize.",FALSE,FALSE
4,11,67,38:50:00,Monica apologizes for calling Lisa ugly.,TRUE,FALSE
4,12,68,24:48:00,Monica apologizes to Heather for making a scene at the dinner.,TRUE,FALSE
4,12,68,32:13:00,Monica apologizes more deeply to Lisa for their continued conflict.,TRUE,TRUE
4,12,68,36:24:00,Monica gives Bermuda-themed gifts to everyone and apologizes for the recent drama.,TRUE,FALSE
4,12,68,37:38:00,"Whitney lost her best friend, and tells Lisa she felt ignored by her when she got to the party.",FALSE,FALSE
4,13,69,29:11:00,Meredith tells the group she felt hurt by them ignoring her and not giving her a room with a bathtub when they got to Bermuda.,FALSE,FALSE
4,13,69,29:34:00,Whitney re-confronts Lisa about not being there for her when she was going through the loss of her friend.,FALSE,FALSE
4,13,69,30:54:00,Lisa confronts Whitney about hearing that Whitney thinks she's making Lisa a better person by being her friend.,FALSE,FALSE
4,14,70,4:38:00,Whitney apologizes for coming at Heather.,TRUE,FALSE
4,15,71,2:54:00,Heather apologizes for losing her temper at Monica over who's more single.,TRUE,FALSE
4,15,71,3:32:00,Heather says it hurt her when Monica talked about whether Heather talked to her daughters about sex.,TRUE,FALSE
4,16,72,4:53:00,"Whitney confronted Heather the night before about including stuff about her in the book, and the next morning she apologizes for exploding about it.",TRUE,FALSE
4,16,72,6:15:00,Whitney tells Heather she felt exploited by the way Heather included her in the book.,TRUE,FALSE
4,16,72,29:52:00,"RECEIPTS, PROOF, TIMELINE, SCREENSHOTS, FUCKING EVERYTHING",FALSE,FALSE
4,17,73,39:25:00,"Angie apologizes for saying that Meredith ""spreads her legs for anyone.""",FALSE,FALSE
4,18,74,35:10:00,"Whitney apologizes to Mary for the ""predator"" comment.",TRUE,FALSE
4,19,75,18:15:00,Monica sort of apologizes for posting negative things about the women through the IG account (she says it's because she was trying to hurt Jen).,FALSE,FALSE
4,19,75,36:12:00,"Heather apologizes for the whole black eye incident (to the cast, to the production, to the audience, etc).",TRUE,FALSE
5,1,76,24:02:00,"Angie brings out a scroll with a list of things she wants an apology for (ex: greek mafia, rumors about marriage, etc)",FALSE,TRUE
5,1,76,32:45:00,Lisa confronts Whitney about saying mean things about her on a podcast.,FALSE,FALSE
5,1,76,22:53:00,Heather apologizes for not standing up to Whitney in the group.,TRUE,FALSE
5,2,77,51:12:00,Whitney apologizes to Lisa about her comments from the podcast.,FALSE,FALSE
5,3,78,37:31:00,Lisa apologizes to Bronwyn for not standing up for her.,FALSE,FALSE
5,6,81,5:45:00,Whitney apologizes for accusing Meredith about posting negative things about her business.,TRUE,FALSE
5,6,81,39:27:00,Whitney accuses Lisa of posting negative things about her business. Lisa freaks out.,FALSE,FALSE
5,7,82,32:58:00,John apologizes for pushing Justin when things got heated at the Mob Wives party.,TRUE,FALSE
5,7,82,37:01:00,"Bronwyn apologizes to Heather for how their dynamic has been, but then clearly wants an apology from Heather.",FALSE,FALSE
5,9,84,6:50:00,"Shawn confronts Lisa about how she treats Angie, and Lisa apologizes.",FALSE,FALSE
5,9,84,24:45:00,Justin apologizes to Lisa for yelling at her.,TRUE,FALSE
5,9,84,25:00:00,Lisa apologizes for putting Justin in that position.,TRUE,FALSE
5,9,84,25:39:00,"Meredith apologizes to Shawn for the rumors, but then asks for her own apology from Shawn.",FALSE,FALSE
5,9,84,27:10:00,Meredith confronts Shawn about saying that she was leveraging Brooks to help absolve her from the comments she made about Shawn's sexuality.,FALSE,FALSE
5,10,85,34:58:00,"Heather shares that she was hurt that she wasn't invited on the trip, and asks for a clean slate with Bronwyn.",TRUE,FALSE
5,10,85,36:26:00,Britani apologizes to Bronwyn for saying mean things about her husband.,FALSE,FALSE
